"package","software_review","software_review_status","onboarding_url","issue_created","review_completed","issue_closed"
"auk",TRUE,"Completed","https://github.com/ropensci/onboarding/issues/136",2017-07-19 20:48:59,2018-01-30 18:54:22,2018-08-26 19:38:06
"genbankr",TRUE,"Completed","https://github.com/ropensci/onboarding/issues/47",2016-05-20 16:35:53,2016-08-01 20:28:02,2016-08-03 22:31:28
"treeio",TRUE,"Completed","https://github.com/ropensci/onboarding/issues/179",2018-01-03 10:26:13,2018-03-11 16:15:00,2018-03-20 18:35:27
"apipkgen",FALSE,NA,NA,NA,NA,NA
"arresteddev",FALSE,NA,NA,NA,NA,NA
"aspacer",FALSE,NA,NA,NA,NA,NA
"available",FALSE,NA,NA,NA,NA,NA
"bindertools",FALSE,NA,NA,NA,NA,NA
"blogyaml",FALSE,NA,NA,NA,NA,NA
"cchecks",FALSE,NA,NA,NA,NA,NA
"changes",FALSE,NA,NA,NA,NA,NA
"checkers",FALSE,NA,NA,NA,NA,NA
"citecorp",FALSE,NA,NA,NA,NA,NA
"clock",FALSE,NA,NA,NA,NA,NA
"colorpiler",FALSE,NA,NA,NA,NA,NA
"conditionz",FALSE,NA,NA,NA,NA,NA
"convertr",FALSE,NA,NA,NA,NA,NA
"craft",FALSE,NA,NA,NA,NA,NA
"cricketdata",FALSE,NA,NA,NA,NA,NA
"datapkg",FALSE,NA,NA,NA,NA,NA
"datasauce",FALSE,NA,NA,NA,NA,NA
"dataspice",FALSE,NA,NA,NA,NA,NA
"datastorr",FALSE,NA,NA,NA,NA,NA
"decapitated",FALSE,NA,NA,NA,NA,NA
"defender",FALSE,NA,NA,NA,NA,NA
"dirdf",FALSE,NA,NA,NA,NA,NA
"dissemr",FALSE,NA,NA,NA,NA,NA
"eechidna",FALSE,NA,NA,NA,NA,NA
"emldown",FALSE,NA,NA,NA,NA,NA
"feetures",FALSE,NA,NA,NA,NA,NA
"flipper",FALSE,NA,NA,NA,NA,NA
"ftp",FALSE,NA,NA,NA,NA,NA
"gendercodeR",FALSE,NA,NA,NA,NA,NA
"geoflowr",FALSE,NA,NA,NA,NA,NA
"geojsonrewind",FALSE,NA,NA,NA,NA,NA
"geolocart",FALSE,NA,NA,NA,NA,NA
"ghrecipes",FALSE,NA,NA,NA,NA,NA
"gramr",FALSE,NA,NA,NA,NA,NA
"hirsutosa",FALSE,NA,NA,NA,NA,NA
"hoasts",FALSE,NA,NA,NA,NA,NA
"icon",FALSE,NA,NA,NA,NA,NA
"identifires",FALSE,NA,NA,NA,NA,NA
"jobstatus",FALSE,NA,NA,NA,NA,NA
"keybase",FALSE,NA,NA,NA,NA,NA
"laselva",FALSE,NA,NA,NA,NA,NA
"leafier",FALSE,NA,NA,NA,NA,NA
"makeregistry",FALSE,NA,NA,NA,NA,NA
"mchtoolbox",FALSE,NA,NA,NA,NA,NA
"middlechild",FALSE,NA,NA,NA,NA,NA
"miner",FALSE,NA,NA,NA,NA,NA
"motifator",FALSE,NA,NA,NA,NA,NA
"notary",FALSE,NA,NA,NA,NA,NA
"oauthlib",FALSE,NA,NA,NA,NA,NA
"ochRe",FALSE,NA,NA,NA,NA,NA
"opencv",FALSE,NA,NA,NA,NA,NA
"ozbabynames",FALSE,NA,NA,NA,NA,NA
"ozflights",FALSE,NA,NA,NA,NA,NA
"ozroaddeaths",FALSE,NA,NA,NA,NA,NA
"packagemetrics",FALSE,NA,NA,NA,NA,NA
"parseids",FALSE,NA,NA,NA,NA,NA
"parzer",FALSE,NA,NA,NA,NA,NA
"pegax",FALSE,NA,NA,NA,NA,NA
"phyrmeta",FALSE,NA,NA,NA,NA,NA
"pkginspector",FALSE,NA,NA,NA,NA,NA
"pkgreviewr",FALSE,NA,NA,NA,NA,NA
"ponyexpress",FALSE,NA,NA,NA,NA,NA
"qcoder",FALSE,NA,NA,NA,NA,NA
"rcheatsheet",FALSE,NA,NA,NA,NA,NA
"rcitoid",FALSE,NA,NA,NA,NA,NA
"reviewer",FALSE,NA,NA,NA,NA,NA
"rftdoi",FALSE,NA,NA,NA,NA,NA
"ridb",FALSE,NA,NA,NA,NA,NA
"riodata",FALSE,NA,NA,NA,NA,NA
"roblog",FALSE,NA,NA,NA,NA,NA
"rodev",FALSE,NA,NA,NA,NA,NA
"roomba",FALSE,NA,NA,NA,NA,NA
"ropsec",FALSE,NA,NA,NA,NA,NA
"rotemplate",FALSE,NA,NA,NA,NA,NA
"rresync",FALSE,NA,NA,NA,NA,NA
"rtd",FALSE,NA,NA,NA,NA,NA
"rthings",FALSE,NA,NA,NA,NA,NA
"rubfuns",FALSE,NA,NA,NA,NA,NA
"rwalkable",FALSE,NA,NA,NA,NA,NA
"rwdpa",FALSE,NA,NA,NA,NA,NA
"scatrr",FALSE,NA,NA,NA,NA,NA
"scientist",FALSE,NA,NA,NA,NA,NA
"scitations",FALSE,NA,NA,NA,NA,NA
"seasl",FALSE,NA,NA,NA,NA,NA
"simpletextr",FALSE,NA,NA,NA,NA,NA
"snowball",FALSE,NA,NA,NA,NA,NA
"sparqldsl",FALSE,NA,NA,NA,NA,NA
"spenv",FALSE,NA,NA,NA,NA,NA
"splister",FALSE,NA,NA,NA,NA,NA
"spplist",FALSE,NA,NA,NA,NA,NA
"spplit",FALSE,NA,NA,NA,NA,NA
"stellar",FALSE,NA,NA,NA,NA,NA
"syn",FALSE,NA,NA,NA,NA,NA
"taxadc",FALSE,NA,NA,NA,NA,NA
"tecks",FALSE,NA,NA,NA,NA,NA
"testevil",FALSE,NA,NA,NA,NA,NA
"testrmd",FALSE,NA,NA,NA,NA,NA
"tic",TRUE,"In Progress","https://github.com/ropensci/software-review/issues/305",2019-05-23 13:23:00,NA,NA
"timefuzz",FALSE,NA,NA,NA,NA,NA
"timeraster",FALSE,NA,NA,NA,NA,NA
"tinkr",FALSE,NA,NA,NA,NA,NA
"tl",FALSE,NA,NA,NA,NA,NA
"trackmd",FALSE,NA,NA,NA,NA,NA
"tRainspotting",FALSE,NA,NA,NA,NA,NA
"travis",FALSE,NA,NA,NA,NA,NA
"trufflesniffer",FALSE,NA,NA,NA,NA,NA
"umapr",FALSE,NA,NA,NA,NA,NA
"urltemplate",FALSE,NA,NA,NA,NA,NA
"vitae",FALSE,NA,NA,NA,NA,NA
"webmiddens",FALSE,NA,NA,NA,NA,NA
"webrockets",FALSE,NA,NA,NA,NA,NA
"zbank",FALSE,NA,NA,NA,NA,NA
"zissou",FALSE,NA,NA,NA,NA,NA
"antanym",TRUE,"Completed","https://github.com/ropensci/onboarding/issues/198",2018-02-26 03:52:23,2018-07-13 17:14:32,2018-07-16 17:26:36
"antiword",FALSE,NA,NA,NA,NA,NA
"AntWeb",FALSE,NA,NA,NA,NA,NA
"arkdb",TRUE,"Completed","https://github.com/ropensci/onboarding/issues/224",2018-06-08 22:14:37,2018-08-01 19:17:32,2018-10-18 13:15:38
"aRxiv",FALSE,NA,NA,NA,NA,NA
"assertr",FALSE,NA,NA,NA,NA,NA
"av",FALSE,NA,NA,NA,NA,NA
"babette",FALSE,NA,NA,NA,NA,NA
"bbox",FALSE,NA,NA,NA,NA,NA
"beastier",TRUE,"Completed","https://github.com/ropensci/onboarding/issues/209",2018-04-05 07:41:46,2018-11-29 14:34:42,2019-05-04 18:47:03
"beautier",FALSE,NA,NA,NA,NA,NA
"betty",FALSE,NA,NA,NA,NA,NA
"bib2df",TRUE,"Completed","https://github.com/ropensci/onboarding/issues/124",2017-06-06 18:59:01,2017-09-14 18:57:11,2017-09-15 16:07:48
"bikedata",TRUE,"Completed","https://github.com/ropensci/onboarding/issues/116",2017-05-31 11:35:20,2017-08-10 07:35:26,2017-08-20 13:56:04
"binman",FALSE,NA,NA,NA,NA,NA
"binomen",FALSE,NA,NA,NA,NA,NA
"biomartr",TRUE,"Completed","https://github.com/ropensci/onboarding/issues/93",2017-01-25 14:41:14,2017-06-07 18:50:01,2017-06-07 19:38:51
